epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.7419000267982483,0.8215147256851196,10324.0,10324.0,2.7490758895874023,0.7419000267982483,0.7419000267982483,29676.0,29676.0,0.704200029373169,0.7898073792457581,1479.0,1479.0,0.5737303495407104,0.704200029373169,0.704200029373169,3521.0,3521.0
1,0.8183749914169312,0.896631121635437,7265.0,7265.0,0.41745004057884216,0.8183749914169312,0.8183749914169312,32735.0,32735.0,0.5027999877929688,0.6722589731216431,2486.0,2486.0,2.2637228965759277,0.5027999877929688,0.5027999877929688,2514.0,2514.0
2,0.8304499983787537,0.9091199040412903,6782.0,6782.0,0.390621542930603,0.8304499983787537,0.8304499983787537,33218.0,33218.0,0.8312000036239624,0.9079968333244324,844.0,844.0,0.4568524956703186,0.8312000036239624,0.8312000036239624,4156.0,4156.0
3,0.8346250057220459,0.9137195944786072,6615.0,6615.0,0.3800790011882782,0.8346250057220459,0.8346250057220459,33385.0,33385.0,0.8389999866485596,0.9167022109031677,805.0,805.0,0.403010755777359,0.8389999866485596,0.8389999866485596,4195.0,4195.0
4,0.8396499752998352,0.917427659034729,6414.0,6414.0,0.3716159164905548,0.8396499752998352,0.8396499752998352,33586.0,33586.0,0.8325999975204468,0.9140462279319763,837.0,837.0,0.38248348236083984,0.8325999975204468,0.8325999975204468,4163.0,4163.0
5,0.8404250144958496,0.9185920357704163,6383.0,6383.0,0.36891356110572815,0.8404250144958496,0.8404250144958496,33617.0,33617.0,0.8303999900817871,0.9011592864990234,848.0,848.0,0.4409331679344177,0.8303999900817871,0.8303999900817871,4152.0,4152.0
6,0.8427500128746033,0.9213139414787292,6290.0,6290.0,0.36247920989990234,0.8427500128746033,0.8427500128746033,33710.0,33710.0,0.6787999868392944,0.7867444753646851,1606.0,1606.0,0.74775630235672,0.6787999868392944,0.6787999868392944,3394.0,3394.0
0,0.7798749804496765,0.8607751727104187,8805.0,8805.0,0.4654683470726013,0.7798749804496765,0.7798749804496765,31195.0,31195.0,0.7990000247955322,0.8917483687400818,1005.0,1005.0,0.46912965178489685,0.7990000247955322,0.7990000247955322,3995.0,3995.0
1,0.8237000107765198,0.9026509523391724,7052.0,7052.0,0.3950949013233185,0.8237000107765198,0.8237000107765198,32948.0,32948.0,0.5357999801635742,0.7011576890945435,2321.0,2321.0,1.5666143894195557,0.5357999801635742,0.5357999801635742,2679.0,2679.0
2,0.834725022315979,0.9128795862197876,6611.0,6611.0,0.37493467330932617,0.834725022315979,0.834725022315979,33389.0,33389.0,0.6826000213623047,0.762313961982727,1587.0,1587.0,1.151616096496582,0.6826000213623047,0.6826000213623047,3413.0,3413.0
3,0.8376500010490417,0.9162412285804749,6494.0,6494.0,0.3679012656211853,0.8376500010490417,0.8376500010490417,33506.0,33506.0,0.8375999927520752,0.9185806512832642,812.0,812.0,0.37087780237197876,0.8375999927520752,0.8375999927520752,4188.0,4188.0
4,0.8417750000953674,0.9203928709030151,6329.0,6329.0,0.35928022861480713,0.8417750000953674,0.8417750000953674,33671.0,33671.0,0.6657999753952026,0.7977752685546875,1671.0,1671.0,0.535008430480957,0.6657999753952026,0.6657999753952026,3329.0,3329.0
5,0.846875011920929,0.9222836494445801,6125.0,6125.0,0.35502171516418457,0.846875011920929,0.846875011920929,33875.0,33875.0,0.6776000261306763,0.8025757670402527,1612.0,1612.0,0.5840713977813721,0.6776000261306763,0.6776000261306763,3388.0,3388.0
6,0.8476750254631042,0.9248111248016357,6093.0,6093.0,0.3494884669780731,0.8476750254631042,0.8476750254631042,33907.0,33907.0,0.7893999814987183,0.8964325189590454,1053.0,1053.0,0.4462147057056427,0.7893999814987183,0.7893999814987183,3947.0,3947.0
7,0.8502749800682068,0.9262711405754089,5989.0,5989.0,0.34594252705574036,0.8502749800682068,0.8502749800682068,34011.0,34011.0,0.7202000021934509,0.8237904906272888,1399.0,1399.0,0.692802906036377,0.7202000021934509,0.7202000021934509,3601.0,3601.0
8,0.8515499830245972,0.9277772903442383,5938.0,5938.0,0.34237581491470337,0.8515499830245972,0.8515499830245972,34062.0,34062.0,0.8276000022888184,0.9037376642227173,862.0,862.0,0.40419918298721313,0.8276000022888184,0.8276000022888184,4138.0,4138.0
9,0.852649986743927,0.9291061162948608,5894.0,5894.0,0.3391707241535187,0.852649986743927,0.852649986743927,34106.0,34106.0,0.8044000267982483,0.8905429244041443,978.0,978.0,0.454114705324173,0.8044000267982483,0.8044000267982483,4022.0,4022.0
0,0.7539250254631042,0.8388235569000244,9843.0,9843.0,0.49533018469810486,0.7539250254631042,0.7539250254631042,30157.0,30157.0,0.8127999901771545,0.8955028653144836,936.0,936.0,0.41142430901527405,0.8127999901771545,0.8127999901771545,4064.0,4064.0
1,0.814050018787384,0.8931134939193726,7438.0,7438.0,0.41301605105400085,0.814050018787384,0.814050018787384,32562.0,32562.0,0.8015999794006348,0.8888858556747437,992.0,992.0,0.4351698160171509,0.8015999794006348,0.8015999794006348,4008.0,4008.0
2,0.8269249796867371,0.9050020575523376,6923.0,6923.0,0.39113903045654297,0.8269249796867371,0.8269249796867371,33077.0,33077.0,0.8324000239372253,0.9136346578598022,838.0,838.0,0.37366604804992676,0.8324000239372253,0.8324000239372253,4162.0,4162.0
3,0.8331000208854675,0.9119571447372437,6676.0,6676.0,0.3770478367805481,0.8331000208854675,0.8331000208854675,33324.0,33324.0,0.8317999839782715,0.9105142951011658,841.0,841.0,0.38268887996673584,0.8317999839782715,0.8317999839782715,4159.0,4159.0
4,0.8443999886512756,0.921860933303833,6224.0,6224.0,0.35608944296836853,0.8443999886512756,0.8443999886512756,33776.0,33776.0,0.8460000157356262,0.9178153872489929,770.0,770.0,0.36759212613105774,0.8460000157356262,0.8460000157356262,4230.0,4230.0
5,0.8550999760627747,0.9296979904174805,5796.0,5796.0,0.33813703060150146,0.8550999760627747,0.8550999760627747,34204.0,34204.0,0.8551999926567078,0.9314416646957397,724.0,724.0,0.3379933834075928,0.8551999926567078,0.8551999926567078,4276.0,4276.0
6,0.8690500259399414,0.9406277537345886,5238.0,5238.0,0.3112431764602661,0.8690500259399414,0.8690500259399414,34762.0,34762.0,0.8611999750137329,0.9363732933998108,694.0,694.0,0.3229859173297882,0.8611999750137329,0.8611999750137329,4306.0,4306.0
7,0.8791000247001648,0.9492424130439758,4836.0,4836.0,0.28832757472991943,0.8791000247001648,0.8791000247001648,35164.0,35164.0,0.8659999966621399,0.9402176737785339,670.0,670.0,0.322856605052948,0.8659999966621399,0.8659999966621399,4330.0,4330.0
8,0.8925999999046326,0.9583357572555542,4296.0,4296.0,0.2610737681388855,0.8925999999046326,0.8925999999046326,35704.0,35704.0,0.8669999837875366,0.9408513307571411,665.0,665.0,0.31086692214012146,0.8669999837875366,0.8669999837875366,4335.0,4335.0
9,0.9053999781608582,0.9664296507835388,3784.0,3784.0,0.23419782519340515,0.9053999781608582,0.9053999781608582,36216.0,36216.0,0.8564000129699707,0.9345897436141968,718.0,718.0,0.3366773724555969,0.8564000129699707,0.8564000129699707,4282.0,4282.0
